State ,Website/Meeting Notes,Latitude,Longitude,Stage
Alabama,,,,
Alaska,,,,
Arizona,,,,
Arkansas,,,,
California,,,,
Colorida,https://denvergazette.com/news/government/denver-mayor-hancock-leading-national-reparations-effort-for-african-americans/article_9a31d2c2-ea71-11eb-91c1-1b44d6c75ee9.html,39.7392,104.9903,p
Connecticut,https://www.cga.ct.gov/2021/TOB/H/PDF/2021HB-06267-R00-HB.PDF,41.599,72.8773,p
Delaware,https://www.wilmingtoncitycouncil.com/wp-content/uploads/2022/11/0255-Resolution-Naming-the-Appointments-to-the-Reparations-Taskforce-zo.pdf,39.7391,75.5398,p
Florida,https://www.washingtonpost.com/graphics/2020/national/rosewood-reparations/,29.4204,82.9183,a
Georgia,https://fultoncountyga.gov/reparationstaskforce,33.8034,84.3963,a
Hawaii ,https://www.propublica.org/article/lawmakers-approve-600-million-to-help-fix-housing-program-for-native-hawaiians,,,a
Idaho,,,,
Illinois,,,,
Indiana,,,,
Iowa,,,,
Kansas,"- https://www.kansascity.com/news/politics-government/article271124127.html,,,,
- https://fox4kc.com/news/kansas-city-to-consider-apology-establishing-committee-for-reparations/",39.0997,94.5786,
Kentucky ,,,,
Louisiana,,,,
Maine,,,,
Maryland,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/hb0594?ys=2022RS,39.0458,76.6413,
Massachusetts,https://www.boston.gov/news/members-reparations-task-force-announced - https://malegislature.gov/Bills/193/SD2393,42.3601,71.0589,a
Michigan,http://www.legislature.mi.gov/(S(r1hcwprhbmfqazm4zcx5iohe))/mileg.aspx?page=GetObject&objectname=2022-HB-5673,42.3314,83.0458,a
Minnesota,https://www.revisor.mn.gov/bills/text.php?number=HF2397&type=bill&version=0&session=ls93&session_year=2023&session_number=0,46.7296,94.6859,a
Mississippi,http://billstatus.ls.state.ms.us/2023/pdf/history/HB/HB1369.xml,32.1745,90.1495,d
Missouri,https://www.stlouis-mo.gov/government/boards/public-board-detail.cfm?groupID=2136751019 -- https://www.stlouis-mo.gov/government/city-laws/board-bills/boardbill.cfm?bbDetail=true&BBId=14005,38.627,90.1994,a
Montana,https://montanabudget.org/report/federal-budget-created-inequity,46.8797,110.3626,n
Nebraska,https://www.justiceislovecoalition.com/omaha-justice-is-love-center-campaign,41.2565,95.9345,n
Nevada,https://thenevadaindependent.com/article/as-california-explores-reparations-for-descendants-of-slaves-nevada-joins-conversation,38.8026,116.4194,d
New Hampshire,https://www.washingtonpost.com/politics/new-hampshires-white-liberals-grapple-with-reparations/2019/08/19/db65f2ec-b52f-11e9-8949-5f36ff92706e_story.html,43.1939,71.5724,d
New Jersey,https://www.njleg.state.nj.us/bill-search/2022/A938/bill-text?f=A1000&n=938_I1,40.0583,74.4057,p
New Mexico ,,,,y
New York,â€¢ https://www.episcopalnewsservice.org/2019/11/12/diocese-of-new-york-establishes-reparations-fund-adopts-anti-slavery-resolutions-from-1860/,40.71,74.01,n
New York,https://www.cityandstateny.com/personality/2023/02/could-new-york-lead-movement-reparations/382517/       https://www.nysenate.gov/search/legislation,42.65,73.76,p
North Carolina,https://www.highpointnc.gov/2617/One-High-Point-Commission ,35.96,80.01,a
North Carolina,https://www.citizen-times.com/story/news/local/2022/12/26/asheville-reparations-whats-been-done-in-historic-process/69735396007/,35.6,82.55,a
North Carolina,https://www.dukechronicle.com/article/2021/06/duke-university-durham-city-council-budget-2021-2022-fiscal-year-6-million-reparations-infrastructure,35.99,78.9,a
North Dakota,,,,
Ohio,,,,
Oklahoma,https://tulsaworld.com/news/state-and-regional/govt-and-politics/lawmaker-brings-tulsa-race-massacre-reparations-fund-back-before-oklahoma-legislature/article_928cc2f0-983c-11ed-ab5a-873b975f83c4.html,36.154,95.9928,p
Oregon,Salem: https://trackbill.com/bill/oregon-senate-bill-776-relating-to-a-task-force-on-reparations-for-oregonians-of-african-american-descent-prescribing-an-effective-date/2323268/,44.9429,123.0351,p
Oregon,https://www.portlandtribune.com/opinion/efforts-to-provide-reparations-take-root-in-oregon/article_a57205ef-3a9b-5117-aac4-ff422e36da39.html,45.5152,122.6784,d
Pennsylvania,Harrisburg: https://www.legis.state.pa.us/cfdocs/Legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20190&cosponId=30163 ,40.2732,76.8867,d
Pennsylvania,Reading: https://www.wesa.fm/identity-community/2022-07-24/reparations-reading-pennsylvania-black-americans,40.335648,75.926872,p
Rhode Island,https://www.providenceri.gov/wp-content/uploads/2022/08/ReparationsRecommendationsReport_FINAL.pdf,41.824,71.4128,a
South Carolina ,"https://www.congress.gov/bill/117th-congress/house-bill/40,
https://www.southcarolinapublicradio.org/2023-02-09/the-push-for-a-bill-that-would-drive-research-into-reparations-for-black-americans ",34.0007,81.0348,p
South Dakota,,,,
Tennessee,https://www.commercialappeal.com/story/news/local/2023/02/22/shelby-county-allocates-5-million-creates-committee-to-study-reparations/69932671007/,35.1269,89.9253,a
Texas,https://livingchurch.org/2020/02/17/diocese-of-texas-to-fund-13-million-in-slavery-reparations/,29.7604,95.3698,n
Utah,,,,
Vermont,https://www.burlingtonfreepress.com/story/news/2021/07/26/reparations-what-vermonters-have-learned-government-grassroots-efforts/7948867002/,44.4759,73.2121,a
Virginia,https://wtop.com/virginia/2021/02/virginia-universities-with-history-of-slavery-may-need-to-pay-reparations/,37.5407,77.436,
Washington,https://www.courts.wa.gov/newsinfo/?fa=newsinfo.pressdetail&newsid=49690,47.7511,120.7401,
West Virginia,https://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=HB2878%20INTR.htm&yr=2021&sesstype=RS&i=2878,38.5976,80.4549,
Wisconsin ,,,,
Wyoming ,,,,
American Samoa,,,,
Guam ,,,,
Puerto Rico ,https://manomagazine.com/puertoricocolonialreparations/,18.2208,66.5901,d
"Washington, D.C",https://www.congress.gov/bill/117th-congress/house-bill/40,38.9072,77.0369,